TOMO 03 — BESTIARIO, NPC Y COMPAÑEROS

Fuente operativa de enemigos, criaturas, NPC, compañeros y amenazas.

Edición 5.1 — Versión refinada para lectura de libro

Nota editorial: esta versión conserva la información útil de las iteraciones anteriores, unifica fichas heredadas bajo IDs maestros y retira del cuerpo principal títulos técnicos repetidos, separadores visuales y marcas internas de trabajo. Las fuentes, alias y notas de trazabilidad no se pierden: se conservan en apéndice cuando corresponde.
## Balance final de amenazas

### Prueba matemática de mesa
Antes de cambiar una ficha, probarla contra tres armas de su etapa: una débil, una estándar y una fuerte. Si la amenaza muere antes o después de la duración ideal, marcar la ficha para balance en vez de corregirla de forma destructiva.

| Resultado de prueba | Acción editorial |
|---|---|
| muere demasiado rápido | revisar PV, defensa, cantidad o cobertura |
| dura demasiado | revisar PV, DR/ER/RR, debilidad o daño mínimo |
| no amenaza al grupo | revisar daño, táctica o número |
| elimina al grupo sin margen | revisar daño, AP, cantidad o telegráfico narrativo |

### Escalado por jugadores
1 jugador usa el mínimo de enemigos. 2 jugadores usan cantidad base. 3 jugadores agregan menores o cobertura. 4 jugadores agregan oleadas, líder o presión de objetivo. No duplicar jefes salvo escena final.

TOMO 03 — BESTIARIO: BALANCE Y ESCALADO DE COMBATE

1. DURACION ESPERADA POR AMENAZA
| Amenaza | Rol | Duracion ideal |
|---:|---|---|
| 1-2 | plaga, fauna menor, enemigo ambiental | 1-2 turnos |
| 3-4 | saqueador, robot basico, criatura comun | 2-3 turnos |
| 5-6 | enemigo tactico, supermutante, synth fuerte | 3-5 turnos |
| 7-8 | elite, jefe menor, criatura apex local | 5-7 turnos |
| 9-10 | jefe de escena o amenaza final | escena completa |

2. LECTURA DE AP EN ENEMIGOS
AP en fichas de enemigo significa Puntos de Accion tacticos del enemigo. Si una mesa quiere simplificar:
- AP bajo: 1 accion + movimiento corto.
- AP medio: 1 accion + movimiento normal + reaccion simple.
- AP alto: 2 acciones o accion fuerte + movimiento.

3. ESCALADO POR NUMERO DE JUGADORES
- No duplicar elites automaticamente.
- Primero aumentar enemigos menores.
- Segundo agregar cobertura, alarma o refuerzo.
- Tercero mejorar posicion tactica.
- Solo aumentar PV si la escena debe ser jefe o amenaza final.

4. MARCAS DE BALANCE
Si una ficha no cumple duracion esperada, no se modifica de inmediato. Se marca:
REQUIERE_BALANCE_PV, REQUIERE_BALANCE_DANO, REQUIERE_BALANCE_DEFENSA o REQUIERE_BALANCE_AMENAZA.


Resultado de auditoría:
- No se modifican PV, AP, DR, ER, RR, daño ni amenaza existentes.
- Cualquier cambio numérico futuro debe pasar por prueba de 3 rondas: inicio, medio y alto.
- Enemigos con PV alto y amenaza baja quedan marcados para revisión contextual: pueden ser pasivos, ambientales o resistentes pero poco letales.
- Enemigos con daño alto y AP alto deben revisarse contra armaduras del Tomo 05 para evitar muerte súbita.
- Regla de seguridad: ningún enemigo normal debería requerir más de 6-8 impactos medios salvo jefe, criatura apex, servoarmadura, robot pesado o escena final.
- Información eliminada: 0.

Criterio aplicado:
- No se cambian valores de PV, AP, daño, DR, ER ni RR en fichas existentes.
- La simulación se agrega como capa de auditoría para decidir ajustes posteriores sin destruir datos.
- AP sigue significando Puntos de Acción.
- Fórmula provisional de test: mitigación por tramo de defensa + daño mínimo táctico. No reemplaza Tomo 01; sirve para detectar bloqueos.

### Distribución real detectada en los tomos
| Métrica | Muestras | P10 | P25 | P50 | P75 | P90 |
|---|---:|---:|---:|---:|---:|---:|
| PV enemigos Tomo 03 | 213 | 85.0 | 210.0 | 500.0 | 1000.0 | 1800.0 |
| DR enemigos Tomo 03 | 213 | 15.0 | 45.0 | 95.0 | 180.0 | 260.0 |
| ER enemigos Tomo 03 | 213 | 5.0 | 35.0 | 80.0 | 140.0 | 208.0 |
| Amenaza enemigos Tomo 03 | 213 | 1.1 | 1.5 | 2.2 | 3.1 | 4.2 |
| Daño base armas Tomo 04 | 106 | 22.0 | 28.0 | 45.0 | 55.0 | 150.0 |
| Coste AP armas Tomo 04 | 99 | 20.0 | 25.0 | 28.0 | 35.0 | 42.0 |
| DR armaduras Tomo 05 | 293 | 0.0 | 5.0 | 35.0 | 35.0 | 35.0 |
| ER armaduras Tomo 05 | 293 | 0.0 | 5.0 | 35.0 | 35.0 | 35.0 |

### Fórmula de test usada en esta simulación
- Defensa 0–25: reduce 0 daño.
- Defensa 26–75: reduce 5 daño.
- Defensa 76–150: reduce 10 daño.
- Defensa 151–250: reduce 20 daño.
- Defensa 251–400: reduce 35 daño.
- Defensa 401+: reduce 50 daño.
- Si el arma puede afectar al objetivo pero el cálculo baja a 0, usar daño mínimo táctico: máximo entre 1 y 10% del daño base.
- Rondas de referencia: se calcula con presupuesto abstracto de 100 AP tácticos para comparar armas; no sustituye la economía oficial del Tomo 01.

### Resultado de simulación representativa
| Arma | Enemigo | Amenaza | PV | DR/ER | Daño efectivo | Impactos | Rondas ref. | Estado |
| Láser Rifle | B-004 Withered Feral Ghoul | 2.1 | 220 | 45/25 | 24.0 | 10 | 3 | OK |
| Láser Rifle | B-150 Synth eradicator | 4.0 | 1000 | 180/240 | 4.0 | 250 | 63 | OK |
| Láser Rifle | B-181 Gunner con servoarmadura | 4.2 | 900 | 220/180 | 4.0 | 225 | 57 | OK |
| Láser Rifle | B-132 Legendary Deathclaw | 7.0 | 2800 | 350/260 | 2.4 | 1167 | 292 | OK |
| Láser Rifle | B-068 Ancient Behemoth | 5.8 | 4200 | 320/160 | 4.0 | 1050 | 263 | OK |
| Láser Rifle | B-022 Red Widow Bloodbug | 1.6 | 180 | 35/20 | 24.0 | 8 | 2 | OK |
| Láser Rifle | B-154 F6-33 | 2.5 | 500 | 90/130 | 14.0 | 36 | 9 | LARGO |
| Plasma Rifle | B-137 Cat | 1.1 | 10 | 0/0 | 48.0 | 1 | 1 | OK |
| Plasma Rifle | B-092 Raider | 1.0 | 70 | 10/5 | 48.0 | 2 | 1 | OK |
| Plasma Rifle | B-001 Feral Ghoul | 1.5 | 45 | 5/0 | 48.0 | 1 | 1 | OK |
| Plasma Rifle | B-004 Withered Feral Ghoul | 2.1 | 220 | 45/25 | 43.0 | 6 | 2 | OK |
| Plasma Rifle | B-150 Synth eradicator | 4.0 | 1000 | 180/240 | 8.0 | 125 | 42 | OK |
| Plasma Rifle | B-181 Gunner con servoarmadura | 4.2 | 900 | 220/180 | 8.0 | 113 | 38 | OK |
| Plasma Rifle | B-132 Legendary Deathclaw | 7.0 | 2800 | 350/260 | 4.8 | 584 | 195 | OK |
| Plasma Rifle | B-068 Ancient Behemoth | 5.8 | 4200 | 320/160 | 4.0 | 1050 | 350 | OK |
| Plasma Rifle | B-022 Red Widow Bloodbug | 1.6 | 180 | 35/20 | 43.0 | 5 | 2 | OK |
| Plasma Rifle | B-154 F6-33 | 2.5 | 500 | 90/130 | 28.0 | 18 | 6 | OK |
| Gauss Rifle | B-137 Cat | 1.1 | 10 | 0/0 | 110.0 | 1 | 1 | OK |
| Gauss Rifle | B-092 Raider | 1.0 | 70 | 10/5 | 110.0 | 1 | 1 | OK |
| Gauss Rifle | B-001 Feral Ghoul | 1.5 | 45 | 5/0 | 110.0 | 1 | 1 | OK |
| Gauss Rifle | B-004 Withered Feral Ghoul | 2.1 | 220 | 45/25 | 105.0 | 3 | 2 | OK |
| Gauss Rifle | B-150 Synth eradicator | 4.0 | 1000 | 180/240 | 90.0 | 12 | 6 | OK |
| Gauss Rifle | B-181 Gunner con servoarmadura | 4.2 | 900 | 220/180 | 90.0 | 10 | 5 | OK |
| Gauss Rifle | B-132 Legendary Deathclaw | 7.0 | 2800 | 350/260 | 75.0 | 38 | 19 | OK |
| Gauss Rifle | B-068 Ancient Behemoth | 5.8 | 4200 | 320/160 | 75.0 | 56 | 28 | OK |
| Gauss Rifle | B-022 Red Widow Bloodbug | 1.6 | 180 | 35/20 | 105.0 | 2 | 1 | OK |
| Gauss Rifle | B-154 F6-33 | 2.5 | 500 | 90/130 | 100.0 | 5 | 3 | OK |
| Super Sledge | B-137 Cat | 1.1 | 10 | 0/0 | 40.0 | 1 | 1 | OK |
| Super Sledge | B-092 Raider | 1.0 | 70 | 10/5 | 40.0 | 2 | 1 | OK |
| Super Sledge | B-001 Feral Ghoul | 1.5 | 45 | 5/0 | 40.0 | 2 | 1 | OK |
| Super Sledge | B-004 Withered Feral Ghoul | 2.1 | 220 | 45/25 | 35.0 | 7 | 4 | OK |
| Super Sledge | B-150 Synth eradicator | 4.0 | 1000 | 180/240 | 20.0 | 50 | 25 | OK |
| Super Sledge | B-181 Gunner con servoarmadura | 4.2 | 900 | 220/180 | 20.0 | 45 | 23 | OK |
| Super Sledge | B-132 Legendary Deathclaw | 7.0 | 2800 | 350/260 | 5.0 | 560 | 280 | OK |
| Super Sledge | B-068 Ancient Behemoth | 5.8 | 4200 | 320/160 | 5.0 | 840 | 420 | OK |
| Super Sledge | B-022 Red Widow Bloodbug | 1.6 | 180 | 35/20 | 35.0 | 6 | 3 | OK |
| Super Sledge | B-154 F6-33 | 2.5 | 500 | 90/130 | 30.0 | 17 | 9 | OK |


### Banderas de balance detectadas
| Arma | Enemigo | Diagnóstico |
|---|---|---|
| Pipe pistol | B-004 Withered Feral Ghoul | LARGO |
| Pipe pistol | B-154 F6-33 | LARGO |
| 10mm Pistol | B-154 F6-33 | LARGO |
| Combat Rifle | B-154 F6-33 | LARGO |
| Láser Rifle | B-154 F6-33 | LARGO |


### Decisión de balance I4.6
- No se ajustan fichas automáticamente.
- Una ficha marcada LARGO no se nerfea ni se elimina; se revisa si su rol táctico justifica duración alta.
- Una ficha marcada BLOQUEO_DEFENSA requiere salida táctica: daño mínimo, punto débil, arma antiarmadura, entorno, sigilo, explosivo o condición especial.
- Una ficha marcada DEMASIADO_LETAL requiere verificar si el arma es única, pesada, explosiva, consume munición escasa o tiene coste AP alto.

Criterio aplicado:
- Tomo 01 y Tomo 10 permanecen intactos y no se incluyen en esta entrega.
- No se elimina información importante ni relevante.
- Lo heredado se conserva como alias, soporte, índice no operativo, material fusionado o revisión manual.
- Las correcciones se aplican como capa técnica: control de cruce, tabla de balance, ficha individual mínima o regla de uso.
- Si un dato exacto no existe en el tomo fuente, no se inventa: se marca como pendiente de validación fina.
- AP se conserva siempre como Puntos de Acción. No se introduce PA como término de acciones.

## Cierre I4.5 del Tomo 03 — Balance de enemigos sin modificar fichas

Ajuste no destructivo aplicado:
- No se cambian PV, AP, DR, ER, RR, daño ni amenaza de las fichas existentes.
- Se agrega una matriz de lectura para detectar fichas que requieran balance numérico posterior.
- Las fichas que parezcan fuera de rango deben marcarse `REQUIERE_BALANCE_NUMERICO` antes de tocar valores.

### Matriz de duración esperada de combate
| Tipo de amenaza | Rol de mesa | Duración esperada | Señal de problema |
|---|---|---:|---|
| 0.1–1.9 | Ambiental / débil | 1–2 rondas | Si consume demasiados recursos. |
| 2.0–3.9 | Hostil común | 2–3 rondas | Si cae de un golpe siempre o resiste como jefe. |
| 4.0–5.9 | Enemigo medio | 3–5 rondas | Si obliga a combate largo sin decisión táctica. |
| 6.0–7.9 | Elite / criatura peligrosa | 4–6 rondas | Si el grupo no puede dañarlo con armas de etapa media. |
| 8.0–10 | Jefe / apex | 5–8 rondas | Si muere antes de 2 rondas o supera 10 rondas sin mecánica especial. |

### Regla de lectura AP enemigo
El AP en bestiario se interpreta como Puntos de Acción tácticos o energía de activación de la criatura/NPC. Si una ficha usa AP como dato importado no calibrado, conservar el valor, pero revisar contra número de acciones por turno antes de mesa final.

### Regla de daño mínimo
Para evitar combates bloqueados por DR/ER/RR, toda criatura que pueda recibir daño de un tipo de arma debe recibir al menos daño mínimo narrativo/táctico definido por Tomo 01. Si la resistencia debería impedir daño, debe explicarse como inmunidad especial, no como resultado accidental del cálculo.

Criterio aplicado:
- Tomo 01 y Tomo 10 permanecen intactos; se usan solo como referencia de canon y supervivencia avanzada.
- No se elimina información importante ni relevante.
- Las correcciones se aplican como capas de normalización: ID maestro, alias heredado, apéndice operativo, matriz de cruce o marca de revisión.
- Si un dato no puede validarse con seguridad, se conserva como referencia y no se borra.
- Los textos heredados que contradicen un ID maestro dejan de ser operativos, pero se mantienen como alias histórico o material fusionado.

## Cierre I4.4 del Tomo 03 — Bestiario y balance preliminar

Matriz de amenaza operativa para mesa:
| Amenaza | Uso | PV esperado | Daño esperado | DR/ER/RR esperado | Duración recomendada |
|---:|---|---:|---:|---:|---|
| 1-2 | Ambiental, fauna menor, civil hostil débil | 10-120 | 0-25 | 0-25 | 1-2 rondas |
| 3-4 | Raider básico, robot simple, ghoul común | 120-350 | 20-45 | 10-60 | 2-4 rondas |
| 5-6 | Enemigo armado medio, synth, supermutante bajo | 350-800 | 40-80 | 40-120 | 3-6 rondas |
| 7-8 | Élite, jefe menor, robot pesado | 800-1600 | 70-140 | 100-250 | 5-8 rondas |
| 9-10 | Apex, jefe mayor, amenaza final | 1600+ | 120+ | 200+ | Escena preparada |

Regla de cierre:
- No se modifican PV, AP, daño o amenaza de fichas existentes sin prueba Tomo 03 ↔ Tomo 04 ↔ Tomo 05.
- Si una ficha queda fuera de rango, se marca `REQUIERE_BALANCE_NUMERICO`, no se borra.
- `PA` heredado no se usa como Puntos de Acción; se conserva solo como alias dudoso de servoarmadura/armadura pesada cuando aparece en debilidades.

Criterio aplicado:
- Tomo 01 y Tomo 10 NO se modifican ni se incluyen en esta entrega.
- No se elimina información importante: los IDs, textos y fichas heredadas se conservan como alias, apoyo o revisión manual.
- Los ajustes nuevos se aplican como capa técnica para que el contenido heredado no compita con IDs maestros.
- Si un dato no puede validarse contra Tomo 06, queda marcado como REQUIERE_VALIDACION_MANUAL o REQUIERE_MAPEO_U.

## Ajuste Tomo 03 — Preparación para balance matemático

Esta Iteración 4.3 no cambia estadísticas numéricas de forma destructiva. Se añade criterio de prueba: cualquier ajuste futuro de PV, daño, DR/ER/RR o AP debe hacerse contra la matriz Tomo 03 ↔ Tomo 04 ↔ Tomo 05. Si una ficha parece desbalanceada, marcar `REQUIERE_BALANCE` antes de modificar valores.

Criterio aplicado:
- Tomo 01 y Tomo 10 NO se modifican.
- No se elimina información importante ni relevante.
- Las correcciones se agregan como capa de normalización, alias, cruce o apéndice operativo.
- Si un dato no puede validarse con seguridad, se conserva y se marca como REQUIERE REVISIÓN MANUAL.
- Los IDs heredados se conservan como alias para no romper búsquedas ni referencias anteriores.
- AP se mantiene como Puntos de Acción. No se introduce PA como término de acciones.

## Ajuste específico Tomo 03 — Bestiario/NPC

Objetivo 4.1:
- Corregir residuos `PA` en debilidades sin eliminar el dato original.
- `AP` se mantiene como Puntos de Acción. `PA` no se usa como término de acciones.
- Cuando `PA` aparece como debilidad heredada, se interpreta provisionalmente como `Servoarmadura / armadura pesada`, conservando alias original y marcando revisión manual.

Corrección aplicada: 12 apariciones de debilidad `PA` fueron normalizadas con alias conservado.

### Regla de balance pendiente
Las fichas del Tomo 03 quedan listas para prueba contra Tomo 04 y Tomo 05, pero el daño final debe validarse con simulaciones de PV, DR, ER, RR y coste AP.


Criterio V3:
- No se elimina contenido del Tomo 01, Tomo 02 ni Tomo 10.
- Tomo 01 conserva reglas core; se ajusta por notas de alineación, no por recorte.
- Tomo 02 conserva todas las misiones, entradas locales, referencias reconstruidas y contenido pendiente de reclasificación; nada se borra sin validación manual.
- Tomo 10 conserva reglas de supervivencia y referencias recuperadas; los contenidos fuera del juego base se tratan como referencia/apéndice, no como pérdida de reglas.
- Los demás tomos quedan alineados al canon global de cruce: Tomo 03 estadísticas, Tomo 04 armas, Tomo 05 equipo, Tomo 06 ubicaciones/mapas, Tomo 07 asentamientos, Tomo 08 facciones y Tomo 09 coleccionables.
- Cualquier contenido dudoso debe marcarse como “requiere revisión” antes de moverse o separarse en tomo/apéndice de expansión.

ROL V3 DEL TOMO 03: fuente única de estadísticas de enemigos, criaturas, NPC, compañeros y grupos operativos.

CANON GLOBAL DE CRUCE ENTRE TOMOS — EDICIÓN AJUSTADA
Alcance V3 de esta colección: Fallout 4 juego base como núcleo principal. Si este tomo conserva contenido DLC, Creation Club o referencias no base, debe marcarse para apéndice o tomo de expansión, no mezclarse con la regla base.

Reglas compartidas entre tomos:
- AP significa siempre Puntos de Acción. No usar PA para acciones.
- Zona significa ubicación, punto de interés, interior, exterior, edificio, cueva, vault, tramo de ruta o área jugable completa.
- Ruta significa cadena de zonas conectadas.
- Ubicación significa lugar físico consultable en el Tomo 06.
- Subzona significa elemento interno explorable: sala, calle, casa, puente, pasillo, azotea, patio, túnel, garaje, muelle, escalera, zona de cobertura o sector de combate.
- Enemigo propio de misión: se define en Tomo 02 y sus estadísticas se consultan en Tomo 03.
- Enemigo normal de ubicación: se define en Tomo 06 y sus estadísticas se consultan en Tomo 03.
- Asentamiento: Tomo 06 lo describe como mapa/ubicación explorable; Tomo 07 lo desarrolla como sistema construible, población, defensa, recursos y economía.
- Bioma, clima y hora: Tomo 06 los explica como lectura básica del entorno; Tomo 10 contiene las reglas avanzadas de supervivencia.
- Coleccionable: Tomo 09 es la fuente principal; Tomo 06 indica su punto físico exacto si forma parte del mapa; Tomo 02 solo lo menciona si es requerido por una misión.
- Facción: Tomo 08 es la fuente política y de reputación; Tomo 02 usa facciones en misiones; Tomo 06 en territorios; Tomo 03 en enemigos/NPC.

Lista canónica básica de climas del juego base para Tomo 01, 06 y 10:
Soleado; Despejado templado; Nublado; Viento fuerte; Polvo / ceniza; Lluvia ligera; Lluvia fuerte; Niebla ligera; Niebla densa; Calor extremo; Frío extremo; Tormenta de nieve; Tormenta eléctrica; Tormenta radiactiva.

ROL DE ESTE TOMO EN EL CRUCE GLOBAL:
Este tomo es la fuente única de estadísticas de enemigos, criaturas, NPC, compañeros y grupos operativos.

Biomas oficiales de supervivencia usados como etiqueta de lectura de entorno:
Desierto / yermo seco; Bosque templado; Bosque boreal; Tundra / zona fría; Bioma acuático; Pantano; Mar Resplandeciente; Urbano; Costa; Rural; Subterráneo.


