TOMO 09 — COLECCIONABLES

Cabezones, revistas, holocintas, notas, llaves, terminales y objetos únicos.

Edición 5.1 — Versión refinada para lectura de libro

Nota editorial: esta versión conserva la información útil de las iteraciones anteriores, unifica fichas heredadas bajo IDs maestros y retira del cuerpo principal títulos técnicos repetidos, separadores visuales y marcas internas de trabajo. Las fuentes, alias y notas de trazabilidad no se pierden: se conservan en apéndice cuando corresponde.
## Validación final de coleccionables

Los coleccionables se publican con tres estados posibles: validado, operativo de mesa o pendiente de validación fina. No se inventan nombres oficiales cuando no estén confirmados.

| Estado | Uso en libro |
|---|---|
| Validado | aparece como ficha canónica completa |
| Operativo de mesa | puede usarse como pista, llave, nota o terminal sin nombre oficial |
| Pendiente | se conserva para revisión, no se elimina |

### Uso jugable
Un coleccionable debe indicar al menos: ID COL, tipo, ubicación U, subzona o punto físico, uso, riesgo, recompensa y cruce con misión/facción si aplica.

TOMO 09 — COLECCIONABLES: USO JUGABLE Y PISTAS

1. TIPO DE USO JUGABLE
Cada COL debe clasificarse como minimo en uno de estos usos:
- Bonus: entrega efecto mecanico.
- Pista: abre informacion o ruta.
- Lore: aporta contexto sin efecto directo.
- Mision: requerido para avanzar o cerrar objetivo.
- Llave/Acceso: abre puerta, terminal, caja, ruta o subzona.
- Recompensa: objeto unico, revista, cabezon, holocinta o documento valioso.

2. CUANDO UN COLECCIONABLE NO TIENE NOMBRE OFICIAL VALIDADO
No inventar nombre canonico. Usar:
COL-xxxx — Registro operativo de mesa
Nombre oficial: REQUIERE_VALIDACION
Ubicacion: U-xxxx si existe
Subzona: segun Tomo 06
Uso: pista/lore/mision/llave/recompensa

3. TERMINALES, NOTAS Y HOLOCINTAS EN MISIONES
Si una mision pide un registro, usar Tomo 09 como fuente de ID. Si no existe ficha, crear alias pendiente en vez de usar ID de bestiario, arma o ubicacion.


Criterio aplicado:
- No se elimina ninguna ficha COL previa; este bloque añade una capa operativa para los pendientes detectados en I4.6.
- Tomo 01 y Tomo 10 permanecen intactos y fuera de esta entrega.
- Las entradas de esta sección se derivan del mapa táctico textual del Tomo 06: ubicación U, subzona, terminal/objeto, AP e interacción.
- Cuando el Atlas dice 'holocinta/nota/entrada posible', el nombre es operativo y no canónico; no se inventa un nombre oficial de lore.
- Si más adelante se valida el nombre oficial de una holocinta, nota, llave o terminal, se reemplaza el nombre operativo conservando el ID COL como alias.
- AP significa siempre Puntos de Acción.

### Tabla operativa I4.7
| ID | Tipo operativo | Nombre operativo / estado | Ubicación Tomo 06 | ID U | Subzona exacta | Soporte / interacción | AP recomendado | Estado |
| COL-0197 | Terminal + Holocinta/Nota/Entrada | Registro local de USAF Satellite Station Olivia — Oficinas o sala de seguridad | USAF Satellite Station Olivia | U-0006 | Oficinas o sala de seguridad | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0198 | Terminal + Holocinta/Nota/Entrada | Registro local de Wicked Shipping Fleet Lockup — Oficina o edificio principal | Wicked Shipping Fleet Lockup | U-0009 | Oficina o edificio principal | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0199 | Terminal + Holocinta/Nota/Entrada | Registro local de Museum of Freedom — Vestibulo y recepcion | Museum of Freedom | U-0012 | Vestibulo y recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0200 | Terminal + Holocinta/Nota/Entrada | Registro local de Bedford Station — Vestibulo o control de acceso | Bedford Station | U-0013 | Vestibulo o control de acceso | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0201 | Terminal + Holocinta/Nota/Entrada | Registro local de Bedford Station — Sala tecnica / generadores | Bedford Station | U-0013 | Sala tecnica / generadores | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0202 | Terminal + Holocinta/Nota/Entrada | Registro local de Bedford Station — Oficinas o sala de seguridad | Bedford Station | U-0013 | Oficinas o sala de seguridad | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0203 | Terminal + Holocinta/Nota/Entrada | Registro local de Lonely Chapel — Vestibulo / recepcion | Lonely Chapel | U-0016 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0204 | Terminal + Holocinta/Nota/Entrada | Registro local de Lonely Chapel — Cuartos u oficinas | Lonely Chapel | U-0016 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0205 | Terminal + Holocinta/Nota/Entrada | Registro local de Lexington apartments — Vestibulo / recepcion | Lexington apartments | U-0023 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0206 | Terminal + Holocinta/Nota/Entrada | Registro local de Lexington apartments — Cuartos u oficinas | Lexington apartments | U-0023 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0207 | Terminal + Holocinta/Nota/Entrada | Registro local de Radio tower 3SM-U81 — Vestibulo / recepcion | Radio tower 3SM-U81 | U-0026 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0208 | Terminal + Holocinta/Nota/Entrada | Registro local de Radio tower 3SM-U81 — Cuartos u oficinas | Radio tower 3SM-U81 | U-0026 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0209 | Terminal + Holocinta/Nota/Entrada | Registro local de Recon bunker Theta — Punto de control exterior | Recon bunker Theta | U-0027 | Punto de control exterior | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 0-1 AP para entrar o posicionarse | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0210 | Terminal + Holocinta/Nota/Entrada | Registro local de Recon bunker Theta — Sala de mando / comunicaciones | Recon bunker Theta | U-0027 | Sala de mando / comunicaciones | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0211 | Terminal + Holocinta/Nota/Entrada | Registro local de Recon bunker Theta — Torretas / sensores / terminales | Recon bunker Theta | U-0027 | Torretas / sensores / terminales | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0212 | Terminal + Holocinta/Nota/Entrada | Registro local de Parsons Creamery — Recepcion u oficina | Parsons Creamery | U-0029 | Recepcion u oficina | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0213 | Terminal + Holocinta/Nota/Entrada | Registro local de Parsons Creamery — Laboratorio o zona tecnica | Parsons Creamery | U-0029 | Laboratorio o zona tecnica | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0214 | Terminal + Holocinta/Nota/Entrada | Registro local de Mass Fusion containment shed — Recepcion u oficina | Mass Fusion containment shed | U-0036 | Recepcion u oficina | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0215 | Terminal + Holocinta/Nota/Entrada | Registro local de Mass Fusion containment shed — Laboratorio o zona tecnica | Mass Fusion containment shed | U-0036 | Laboratorio o zona tecnica | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0216 | Terminal + Holocinta/Nota/Entrada | Registro local de Listening Post Bravo — Punto de control exterior | Listening Post Bravo | U-0040 | Punto de control exterior | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 0-1 AP para entrar o posicionarse | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0217 | Terminal + Holocinta/Nota/Entrada | Registro local de Listening Post Bravo — Sala de mando / comunicaciones | Listening Post Bravo | U-0040 | Sala de mando / comunicaciones | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0218 | Terminal + Holocinta/Nota/Entrada | Registro local de Listening Post Bravo — Torretas / sensores / terminales | Listening Post Bravo | U-0040 | Torretas / sensores / terminales | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0219 | Terminal + Holocinta/Nota/Entrada | Registro local de Saugus Ironworks — Recepcion u oficina | Saugus Ironworks | U-0042 | Recepcion u oficina | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0220 | Terminal + Holocinta/Nota/Entrada | Registro local de Saugus Ironworks — Laboratorio o zona tecnica | Saugus Ironworks | U-0042 | Laboratorio o zona tecnica | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0221 | Terminal + Holocinta/Nota/Entrada | Registro local de Medford Memorial Hospital — Vestibulo / recepcion | Medford Memorial Hospital | U-0043 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0222 | Terminal + Holocinta/Nota/Entrada | Registro local de Medford Memorial Hospital — Cuartos u oficinas | Medford Memorial Hospital | U-0043 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0223 | Terminal + Holocinta/Nota/Entrada | Registro local de Malden Middle School — Vestibulo / recepcion | Malden Middle School | U-0046 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0224 | Terminal + Holocinta/Nota/Entrada | Registro local de Malden Middle School — Cuartos u oficinas | Malden Middle School | U-0046 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0225 | Terminal + Holocinta/Nota/Entrada | Registro local de Vault 75 — Vestibulo o control de acceso | Vault 75 | U-0047 | Vestibulo o control de acceso | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0226 | Terminal + Holocinta/Nota/Entrada | Registro local de Vault 75 — Sala tecnica / generadores | Vault 75 | U-0047 | Sala tecnica / generadores | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0227 | Terminal + Holocinta/Nota/Entrada | Registro local de Vault 75 — Oficinas o sala de seguridad | Vault 75 | U-0047 | Oficinas o sala de seguridad | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0228 | Terminal + Holocinta/Nota/Entrada | Registro local de Covenant — Oficina o edificio principal | Covenant | U-0049 | Oficina o edificio principal | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0229 | Terminal + Holocinta/Nota/Entrada | Registro local de Taffington Boathouse — Vestibulo / recepcion | Taffington Boathouse | U-0050 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0230 | Terminal + Holocinta/Nota/Entrada | Registro local de Taffington Boathouse — Cuartos u oficinas | Taffington Boathouse | U-0050 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0231 | Terminal + Holocinta/Nota/Entrada | Registro local de Poseiden Energy Turbine 18-F — Recepcion u oficina | Poseiden Energy Turbine 18-F | U-0052 | Recepcion u oficina | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0232 | Terminal + Holocinta/Nota/Entrada | Registro local de Poseiden Energy Turbine 18-F — Laboratorio o zona tecnica | Poseiden Energy Turbine 18-F | U-0052 | Laboratorio o zona tecnica | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0233 | Terminal + Holocinta/Nota/Entrada | Registro local de Irish Pride Industries shipyard — Oficina o edificio principal | Irish Pride Industries shipyard | U-0054 | Oficina o edificio principal | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0234 | Terminal + Holocinta/Nota/Entrada | Registro local de Relay tower 0MC-810 — Vestibulo / recepcion | Relay tower 0MC-810 | U-0055 | Vestibulo / recepcion | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0235 | Terminal + Holocinta/Nota/Entrada | Registro local de Relay tower 0MC-810 — Cuartos u oficinas | Relay tower 0MC-810 | U-0055 | Cuartos u oficinas | Terminal: Si/posible; Alijo: Posible; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: comida/medicina domestica; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0236 | Terminal + Holocinta/Nota/Entrada | Registro local de National Guard training yard — Punto de control exterior | National Guard training yard | U-0056 | Punto de control exterior | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 0-1 AP para entrar o posicionarse | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0237 | Terminal + Holocinta/Nota/Entrada | Registro local de National Guard training yard — Sala de mando / comunicaciones | National Guard training yard | U-0056 | Sala de mando / comunicaciones | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0238 | Terminal + Holocinta/Nota/Entrada | Registro local de National Guard training yard — Torretas / sensores / terminales | National Guard training yard | U-0056 | Torretas / sensores / terminales | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0239 | Terminal + Holocinta/Nota/Entrada | Registro local de Revere satellite array — Punto de control exterior | Revere satellite array | U-0058 | Punto de control exterior | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 0-1 AP para entrar o posicionarse | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0240 | Terminal + Holocinta/Nota/Entrada | Registro local de Revere satellite array — Sala de mando / comunicaciones | Revere satellite array | U-0058 | Sala de mando / comunicaciones | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0241 | Terminal + Holocinta/Nota/Entrada | Registro local de Revere satellite array — Torretas / sensores / terminales | Revere satellite array | U-0058 | Torretas / sensores / terminales | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0242 | Terminal + Holocinta/Nota/Entrada | Registro local de Federal ration stockpile — Punto de control exterior | Federal ration stockpile | U-0060 | Punto de control exterior | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 0-1 AP para entrar o posicionarse | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0243 | Terminal + Holocinta/Nota/Entrada | Registro local de Federal ration stockpile — Sala de mando / comunicaciones | Federal ration stockpile | U-0060 | Sala de mando / comunicaciones | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0244 | Terminal + Holocinta/Nota/Entrada | Registro local de Federal ration stockpile — Torretas / sensores / terminales | Federal ration stockpile | U-0060 | Torretas / sensores / terminales | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
